Comment,Designator,Footprint,LCSC
10u,C1,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C13585
4504,U2,SOIC-16_3.9x9.9mm_P1.27mm,C151885
100k,"R1,R2",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17900
10n,"C3,C4,C5",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C1846
1N5819,"D1,D2,D3,D4,D5",D_SOD-323,C191023
2N3904,"Q1,Q2",SOT-23-3,C20526
100n,C2,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C24497
1k,"R10,R11,R12,R13,R14,R15,R16,R3,R4,R5,R6,R7,R8,R9",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C4410
